Name,Accelerometer_Day,Accelerometer_Hour,Accelerometer_Mean,Accelerometer_Std,Accelerometer_Min,Accelerometer_Q1,Accelerometer_Q2,Accelerometer_Q3,Accelerometer_Max,Accelerometer_Skew,Accelerometer_Kurtosis,Accelerometer_Range
Z_006_Day_5_Hour_19,5,19,9.83943562399049,0.12490677593771507,9.194835674168443,9.806729862120037,9.838772681515925,9.873155707610271,10.518083221678749,-0.0894990824411903,10.202145132458883,1.3232475475103058
Z_006_Day_5_Hour_20,5,20,9.826184645029246,0.11007698252107453,9.417884093655731,9.781623597019408,9.81996513787663,9.862321734677218,10.249753733987589,0.3591542663816653,3.283095127606157,0.831869640331858
Z_006_Day_6_Hour_07,6,7,9.86504787061066,0.5649909512700695,8.581542001147628,9.669690530733785,9.77972415864139,10.069357288085214,11.279109347561361,0.38211232526567296,0.27535316665631626,2.6975673464137326
Z_006_Day_6_Hour_08,6,8,9.986828873226786,0.9700857438931473,8.17176716918882,9.362148728691405,9.882358561572516,10.575973853066692,12.151172974369347,0.2966181365248757,-0.5144036579757434,3.9794058051805266
Z_006_Day_6_Hour_11,6,11,9.920249205996129,0.7110264789064564,8.429162072687886,9.577778270578815,9.849116665097865,10.254556065337542,11.589765886909898,0.24510136653846498,-0.10377873487417544,3.1606038142220125
Z_006_Day_6_Hour_16,6,16,9.92195884693547,0.8198000352646244,8.292271842409534,9.464171061999988,9.832364660306347,10.388994300453483,11.77855324905662,0.2447789556766812,-0.3404718694313318,3.4862814066470857
Z_006_Day_6_Hour_18,6,18,9.887258220200904,0.7271237236459331,8.371595399687163,9.607797445417926,9.811820288395536,10.169591392019102,11.652668875702487,0.3148085484072133,0.07786168657611325,3.281073476015324
Z_006_Day_6_Hour_20,6,20,9.831969009957067,0.053788352285223856,9.622583663121992,9.803309709411208,9.832213741596119,9.860472845701722,10.046511448476844,0.07998095812568339,2.4649502139268096,0.4239277853548522
Z_007_Day_0_Hour_13,0,13,9.849668546148356,0.25707027572585445,8.76890075894231,9.807715537044036,9.849178251183817,9.890709155366407,10.99036164733108,0.08429075560650855,6.952287668484804,2.221460888388769
Z_007_Day_1_Hour_09,1,9,9.892065733000047,0.5561766412104701,8.793553381732018,9.529434078885512,9.850655043939144,10.263019134563542,11.076300722231585,0.15142089682040116,-0.6106594080082455,2.282747340499567
Z_007_Day_1_Hour_22,1,22,9.891734794837124,0.44233819681012654,8.675276721476427,9.754250779482941,9.87562963837265,10.002839231489737,11.209405217501283,0.2416087279369162,1.495122866911716,2.534128496024856
Z_007_Day_2_Hour_08,2,8,9.816463280911757,0.26203533132972634,9.054428556556502,9.729542593720016,9.773070026278862,9.889610920799452,10.646248847838049,0.48979963964336026,1.8057534938710464,1.5918202912815467
Z_007_Day_2_Hour_09,2,9,9.866536172226912,0.29461914271664563,9.066916547104164,9.755418418622318,9.839892649734054,9.969734222451986,10.726283521923579,0.29949672665808497,1.0354355544931027,1.6593669748194149
Z_007_Day_2_Hour_19,2,19,9.852263976171734,0.197334153075238,9.284427014914707,9.768719340650424,9.852680094826301,9.926767093608639,10.431982598102893,0.06820234713367777,1.076487566136863,1.1475555831881863
Z_007_Day_2_Hour_20,2,20,9.849554385308043,0.24956845239969275,9.212580515408561,9.752369590890327,9.850129165749093,9.940117219529698,10.52032281159725,0.06602515378576526,0.6832141940012106,1.3077422961886889
Z_007_Day_2_Hour_21,2,21,9.863308070613417,0.1460898097367191,9.259995900269963,9.809946183116661,9.8693008548345,9.916621503107516,10.492697799199012,0.09778134555430128,4.981602058682093,1.232701898929049
Z_007_Day_2_Hour_22,2,22,9.835919906567952,0.06465806473063129,9.62474360709168,9.799802072280654,9.833967250902342,9.8712645585934,10.057565498290638,0.08185510142995678,1.194643201577449,0.432821891198957
Z_007_Day_3_Hour_08,3,8,9.837070027276843,0.28007037513489613,9.08359393496148,9.725880584299409,9.823067215795254,9.917710863554248,10.648437312519153,0.2973612632830312,1.2240355072474047,1.5648433775576738
Z_007_Day_3_Hour_19,3,19,9.858552227594577,0.20110759462830696,9.303097874213226,9.765550261349027,9.849136451140629,9.937886958887944,10.43649681105056,0.2175601768902149,0.9638927794372125,1.1333989368373345
Z_007_Day_3_Hour_20,3,20,9.829654608061135,0.2267169627176723,9.200683061562659,9.743107597427315,9.824903311498149,9.905700655953368,10.50273112981908,0.16724778738089388,1.2326096150367825,1.302048068256422
